Date,Name,Meet Type,Sanction Number,State,Website
09/23/2021,World Men's Classic Championships,IPF,IPF,,https://usapl.liftingdatabase.com/competitions-view?id=120068
03/08/2020,Arnold SBD Pro American,IPF,USAPL-2020-07,Ohio,https://usapl.liftingdatabase.com/http://goodlift.info/onecompetition_dtl.php?lid=0&cid=586
03/07/2020,Arnold Con-Cret Pro Bench Bash,IPF,USAPL-2020-02,Ohio,https://usapl.liftingdatabase.com/competitions-view?id=2794
11/18/2019,40th World Open Championships Dubai UAE,IPF,IPF,,https://usapl.liftingdatabase.com/competitions-view?id=2789
10/07/2019,World Masters Equipped Championships Potchefstroom South Africa,IPF,IPF,,https://usapl.liftingdatabase.com/competitions-view?id=2661
08/26/2019,World Juniors & Sub-Juniors Championships Regina- Canada,IPF,IPF,,https://usapl.liftingdatabase.com/http://goodlift.info/competitions.php?year=2019
07/22/2019,4th University Powerlifting Cup,IPF,IPF,,https://usapl.liftingdatabase.com/competitions-view?id=2618
05/18/2019,IPF Equipped World Bench Press Championships - Tokyo Japan,IPF,IPF,,https://usapl.liftingdatabase.com/http://goodlift.info/competitions.php?year=2019
11/05/2018,2018 World Open Championships,IPF,,,https://usapl.liftingdatabase.com/competitions-view?id=2579
10/02/2018,IPF World Masters Chamionships,IPF,IPF,,https://usapl.liftingdatabase.com/http://goodlift.info/competitions.php?year=2019
09/03/2018,World Juniors & Sub-Juniors Championships,IPF,IPF,,https://usapl.liftingdatabase.com/competitions-view?id=2559
07/09/2018,3rd University Powerlifting Cup,IPF,IPF,,https://usapl.liftingdatabase.com/4th University Powerlifting Cup
06/06/2018,6th IPF World Classic Championships,IPF,IPF,,https://usapl.liftingdatabase.com/competitions-view?id=2469
05/14/2018,3rd IPF World Classic Bench Press,IPF,IPF,,https://usapl.liftingdatabase.com/http://goodlift.info/competitions.php?year=2019
04/23/2018,World Bench Press Championships,IPF,IPF,,https://usapl.liftingdatabase.com/competitions-view?id=2223
03/04/2018,The Arnold - Titan Pro Bench Bash,IPF,NAPF,Ohio,https://usapl.liftingdatabase.com/http://goodlift.info/competitions.php?year=2018
03/03/2018,The Arnold - Grand Prix by SBD,IPF,NAPF,Ohio,https://usapl.liftingdatabase.com/competitions-view?id=2181
03/03/2018,The Arnold - SSP Nutrition Pro Raw Bench,IPF,NAPF,Ohio,https://usapl.liftingdatabase.com/http://goodlift.info/competitions.php?year=2018
11/13/2017,IPF Open World Championships,IPF,IPF,,https://usapl.liftingdatabase.com/competitions-view?id=2159
10/27/2017,2017 NAPF Bench Press Championship,IPF,NAPF,,https://usapl.liftingdatabase.com/http://goodlift.info/competitions.php?year=2018
10/01/2017,World Masters Championships,IPF,IPF,,https://usapl.liftingdatabase.com/competitions-view?id=2107
08/28/2017,World Juniors & Sub-Juniors Championships,IPF,IPF,Florida,https://usapl.liftingdatabase.com/http://goodlift.info/competitions.php?year=2018
07/24/2017,World Games 2017 Wroclaw (Poland),IPF,IWG,,https://usapl.liftingdatabase.com/competitions-view?id=2085
07/10/2017,2nd University Powerlifting Cup - Potchefstroom (South Africa),IPF,IPF,,https://usapl.liftingdatabase.com/http://goodlift.info/competitions.php?year=2018
07/04/2017,15th Annual NAPF North American Regional Powerlifting Championships,IPF,NAPF/FESUPO,Florida,https://usapl.liftingdatabase.com/competitions-view?id=2088
06/15/2017,5th IPF World Classic Championships - Minsk \ Belarus,IPF,IPF,,https://usapl.liftingdatabase.com/http://goodlift.info/competitions.php?year=2018
05/22/2017,IPF World Men's Bench Press Championships - Lithuania,IPF,IPF,,https://usapl.liftingdatabase.com/competitions-view?id=2092
04/29/2017,Pacific Invitationals,IPF,AUS,,https://usapl.liftingdatabase.com/http://goodlift.info/competitions.php?year=2018
04/17/2017,2nd IPF World Classic Bench Press - Killeen - USA,IPF,IPF,Texas,https://usapl.liftingdatabase.com/competitions-view?id=1943
03/05/2017,Arnold - Titan Pro Bench Bash,IPF,USAPL-2017-01,Ohio,https://usapl.liftingdatabase.com/competitions-view?id=1941
03/04/2017,Arnold - SSP Nutrition Pro Raw Bench,IPF,USAPL-2017-01,Ohio,https://usapl.liftingdatabase.com/competitions-view?id=1942
03/04/2017,Arnold - Grand Prix,IPF,USAPL-2017-01,Ohio,https://usapl.liftingdatabase.com/competitions-view?id=1823
03/04/2017,Arnold - Slingshot Pro American,IPF,USAPL-2017-01,Ohio,https://usapl.liftingdatabase.com/competitions-view?id=1825
01/29/2017,Reykjavík International Games,IPF,,,https://usapl.liftingdatabase.com/competitions-view?id=1822
11/14/2016,2016 IPF Open Worlds,IPF,,Florida,https://usapl.liftingdatabase.com/competitions-view?id=1821
10/28/2016,2016 NAPF Bench Press Championships (San Jose - Costa Rica),IPF,NAPF,,https://usapl.liftingdatabase.com/competitions-view?id=1733
10/03/2016,IPF Master Worlds (Tallinn Estonia),IPF,,,https://usapl.liftingdatabase.com/competitions-view?id=1732
08/29/2016,IPF SubJr-Junior Worlds - Szczyrk Poland,IPF,,,https://usapl.liftingdatabase.com/competitions-view?id=1702
08/15/2016,14th Annual North American Championships,IPF,,,https://usapl.liftingdatabase.com/competitions-view?id=1701
07/11/2016,1st IPF University Powerlifting World Cup,IPF,,,https://usapl.liftingdatabase.com/competitions-view?id=1660
06/18/2016,IPF Classic Worlds,IPF,,Texas,https://usapl.liftingdatabase.com/competitions-view?id=1662
05/15/2016,IPF Classic Bench Worlds - South Africa,IPF,,,https://usapl.liftingdatabase.com/competitions-view?id=1631
04/19/2016,IPF Bench Worlds - Rodby Denmark,IPF,,,https://usapl.liftingdatabase.com/competitions-view?id=1549
03/06/2016,Arnold - SlingShot Pro Deadlift,IPF,USAPL-2016-01,Ohio,https://usapl.liftingdatabase.com/http://arnold.usapowerlifting.com
03/06/2016,Arnold - Titan Pro Raw Bench Bash,IPF,USAPL-2016-01,Ohio,https://usapl.liftingdatabase.com/competitions-view?id=1523
03/05/2016,Arnold - SlingShot Pro American,IPF,USAPL-2016-01,Ohio,https://usapl.liftingdatabase.com/http://arnold.usapowerlifting.com
03/05/2016,Arnold - SSP Nutrition Pro Raw Bench,IPF,USAPL-2016-01,Ohio,https://usapl.liftingdatabase.com/competitions-view?id=1528
03/04/2016,Arnold - StartingStrength.com Pro Raw Challenge,IPF,USAPL-2016-01,Ohio,https://usapl.liftingdatabase.com/http://arnold.usapowerlifting.com
01/30/2016,Reykjavik International Games,IPF,,,https://usapl.liftingdatabase.com/competitions-view?id=1530
11/09/2015,IPF Open Worlds Championships - Hamm (Luxembourg),IPF,,,https://usapl.liftingdatabase.com/http://arnold.usapowerlifting.com
09/28/2015,2015 IPF World Masters Championships,IPF,IPF,Colorado,https://usapl.liftingdatabase.com/competitions-view?id=1439
09/25/2015,Arnold Classic Europe,IPF,,,https://usapl.liftingdatabase.com/http://results.kraft.is/meet/rig-2017
09/16/2015,NAPF Pan American & South American Championships Classic,IPF,,,https://usapl.liftingdatabase.com/competitions-view?id=1375
08/31/2015,2015 IPF SubJr/Junior Worlds - Prague/ Czech Republic,IPF,,,https://usapl.liftingdatabase.com/competitions-view?id=1379
08/29/2015,2015 Great Lakes Sports Festival USAPL Pro Raw Deadlift,IPF,USAPL-2015-02,Pennsylvania,https://usapl.liftingdatabase.com/competitions-view?id=1353
07/07/2015,13th Annual IPF/NAPF North American Regional Powerlifting Championships,IPF,,,https://usapl.liftingdatabase.com/competitions-view?id=1338
06/05/2015,2015 IPF Classic (Raw) Worlds,IPF,,,https://usapl.liftingdatabase.com/http://www.powerlifting-ipf.com/championships/results/2016/world-sub-junior-and-junior-powerlifting-championships-2016.html
05/20/2015,IPF Bench Worlds - Open SubJr Junior,IPF,,,https://usapl.liftingdatabase.com/competitions-view?id=1301
04/16/2015,IPF Master Benchpress Worlds,IPF,,Colorado,https://usapl.liftingdatabase.com/competitions-view?id=1279
03/06/2015,2015 Arnold - Pro American,IPF,USAPL-2015-01,Nationals,https://usapl.liftingdatabase.com/http://www.powerlifting-ipf.com/championships/results/2016/university-powerlifting-world-cup-2016.html
03/06/2015,2015 Arnold - Pro Raw Challenge,IPF,USAPL-2015-01,Nationals,https://usapl.liftingdatabase.com/competitions-view?id=1260
03/06/2015,2015 Arnold - Pro Raw Bench,IPF,USAPL-2015-01,Nationals,https://usapl.liftingdatabase.com/http://www.powerlifting-ipf.com/championships/results/2016/world-classic-powerlifting-championships-2016.html
11/03/2014,IPF Open Worlds - Aurora - USA,IPF,,Colorado,https://usapl.liftingdatabase.com/competitions-view?id=1237
09/21/2014,2014 IPF World Masters - Pilsen/ Czech Republic,IPF,,,https://usapl.liftingdatabase.com/http://www.powerlifting-ipf.com/championships/results/2016/world-open-sub-juniors-juniors-masters-classic-bench-press-championships-2016.html
11/05/2012,IPF Mens Worlds,IPF,,,https://usapl.liftingdatabase.com/competitions-view?id=1339
11/05/2012,IPF WOMENS WORLDS,IPF,,,https://usapl.liftingdatabase.com/http://www.powerlifting-ipf.com/championships/results/2016/world-open-sub-juniors-juniors-masters-equipped-bench-press-championships-2016.html
01/01/2012,World Raw Cup,IPF,,,https://usapl.liftingdatabase.com/competitions-view?id=1121
01/01/2024,Eastern China New Year Classic,Local,CHN-2024-02,China,https://usapl.liftingdatabase.com/competitions-view?id=120984
12/17/2023,Adelante Winter Heat,Local,NJ-2023-10,New Jersey,https://usapl.liftingdatabase.com/competitions-view?id=120966
12/17/2023,Paragon Open IV,Local,AUS-2023-32,Australia,https://usapl.liftingdatabase.com/competitions-view?id=120976
12/16/2023,Electric City Open,Local,SC-2023-10,South Carolina,https://usapl.liftingdatabase.com/competitions-view?id=120954
12/16/2023,Intrepid Classic,Local,NY-2023-26,New York,https://usapl.liftingdatabase.com/competitions-view?id=120955
12/16/2023,Strong Hawk Invitational,Local,LA-2023-11,Louisiana,https://usapl.liftingdatabase.com/competitions-view?id=120957
12/16/2023,Christmas Miracle,Local,MS-2023-02,Mississippi,https://usapl.liftingdatabase.com/competitions-view?id=120961
12/16/2023,Winter Classic,Local,CHN-2023-04,China,https://usapl.liftingdatabase.com/competitions-view?id=120963
12/16/2023,Holiday Hoist,Local,ID-2023-03,Idaho,https://usapl.liftingdatabase.com/competitions-view?id=120964
12/16/2023,South Florida Showdown,Local,FL-2023-15,Florida,https://usapl.liftingdatabase.com/competitions-view?id=120968
12/16/2023,ANYONE CAN LIFT,Local,KOR-2023-07,South Korea,https://usapl.liftingdatabase.com/competitions-view?id=120969
12/16/2023,Lifelong Classic,Local,KS-2023-06,Kansas,https://usapl.liftingdatabase.com/competitions-view?id=120971
12/16/2023,Cougar Classic,Local,TX-2023-39,Texas,https://usapl.liftingdatabase.com/competitions-view?id=120972
12/16/2023,Klash at Kingdom,Local,TX-2023-30,Texas,https://usapl.liftingdatabase.com/competitions-view?id=120975
12/16/2023,Bay Area Barbell Winter Swolestice II,Local,CA-2023-31,California,https://usapl.liftingdatabase.com/competitions-view?id=120977
12/16/2023,Team GPT Invitational,Local,CT-2023-09,Connecticut,https://usapl.liftingdatabase.com/competitions-view?id=120983
12/09/2023,Michigan Rookie Rumble,Local,MI-2023-12,Michigan,https://usapl.liftingdatabase.com/competitions-view?id=120939
12/09/2023,Liftmas Open,Local,WI-2023-11,Wisconsin,https://usapl.liftingdatabase.com/competitions-view?id=120940
12/09/2023,Heavy Liftmas,Local,WY-2023-07,Wyoming,https://usapl.liftingdatabase.com/competitions-view?id=120941
12/09/2023,STS Winter Wars,Local,CA-2023-33,California,https://usapl.liftingdatabase.com/competitions-view?id=120943
12/09/2023,Teen and Collegiate Open,Local,WI-2023-20,Wisconsin,https://usapl.liftingdatabase.com/competitions-view?id=120944
12/09/2023,Alpha Omega Christmas Classic,Local,OH-2023-17,Ohio,https://usapl.liftingdatabase.com/competitions-view?id=120948
