"Meet Date","Meet Name","Meet Type","Sanction Number","Meet Location","Website","Unique Identification"
2021-09-23,"World Men's Classic Championships","IPF","IPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=120068","2021-09-23-World Men's Classic Championships"
2020-03-08,"Arnold SBD Pro American","IPF","USAPL-2020-07","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=2794","2020-03-08-Arnold SBD Pro American"
2020-03-07,"Arnold Con-Cret Pro Bench Bash","IPF","USAPL-2020-02","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=2789","2020-03-07-Arnold Con-Cret Pro Bench Bash"
2019-11-18,"40th World Open Championships Dubai UAE","IPF","IPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=2661","2019-11-18-40th World Open Championships Dubai UAE"
2019-10-07,"World Masters Equipped Championships Potchefstroom South Africa","IPF","IPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=2618","2019-10-07-World Masters Equipped Championships Potchefstroom South Africa"
2019-08-26,"World Juniors & Sub-Juniors Championships Regina- Canada","IPF","IPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=2579","2019-08-26-World Juniors & Sub-Juniors Championships Regina- Canada"
2019-07-22,"4th University Powerlifting Cup","IPF","IPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=2559","2019-07-22-4th University Powerlifting Cup"
2019-05-18,"IPF Equipped World Bench Press Championships - Tokyo Japan","IPF","IPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=2469","2019-05-18-IPF Equipped World Bench Press Championships - Tokyo Japan"
2018-11-05,"2018 World Open Championships","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=2223","2018-11-05-2018 World Open Championships"
2018-10-02,"IPF World Masters Chamionships","IPF","IPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=2181","2018-10-02-IPF World Masters Chamionships"
2018-09-03,"World Juniors & Sub-Juniors Championships","IPF","IPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=2159","2018-09-03-World Juniors & Sub-Juniors Championships"
2018-07-09,"3rd University Powerlifting Cup","IPF","IPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=2107","2018-07-09-3rd University Powerlifting Cup"
2018-06-06,"6th IPF World Classic Championships","IPF","IPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=2085","2018-06-06-6th IPF World Classic Championships"
2018-05-14,"3rd IPF World Classic Bench Press","IPF","IPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=2088","2018-05-14-3rd IPF World Classic Bench Press"
2018-04-23,"World Bench Press Championships","IPF","IPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=2092","2018-04-23-World Bench Press Championships"
2018-03-04,"The Arnold - Titan Pro Bench Bash","IPF","NAPF","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=1943","2018-03-04-The Arnold - Titan Pro Bench Bash"
2018-03-03,"The Arnold - Grand Prix by SBD","IPF","NAPF","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=1941","2018-03-03-The Arnold - Grand Prix by SBD"
2018-03-03,"The Arnold - SSP Nutrition Pro Raw Bench","IPF","NAPF","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=1942","2018-03-03-The Arnold - SSP Nutrition Pro Raw Bench"
2017-11-13,"IPF Open World Championships","IPF","IPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=1823","2017-11-13-IPF Open World Championships"
2017-10-27,"2017 NAPF Bench Press Championship","IPF","NAPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=1825","2017-10-27-2017 NAPF Bench Press Championship"
2017-10-01,"World Masters Championships","IPF","IPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=1822","2017-10-01-World Masters Championships"
2017-08-28,"World Juniors & Sub-Juniors Championships","IPF","IPF","Florida","https://usapl.liftingdatabase.com/competitions-view?id=1821","2017-08-28-World Juniors & Sub-Juniors Championships"
2017-07-24,"World Games 2017 Wroclaw (Poland)","IPF","IWG",NA,"https://usapl.liftingdatabase.com/competitions-view?id=1733","2017-07-24-World Games 2017 Wroclaw (Poland)"
2017-07-10,"2nd University Powerlifting Cup - Potchefstroom (South Africa)","IPF","IPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=1732","2017-07-10-2nd University Powerlifting Cup - Potchefstroom (South Africa)"
2017-07-04,"15th Annual NAPF North American Regional Powerlifting Championships","IPF","NAPF/FESUPO","Florida","https://usapl.liftingdatabase.com/competitions-view?id=1702","2017-07-04-15th Annual NAPF North American Regional Powerlifting Championships"
2017-06-15,"5th IPF World Classic Championships - Minsk \ Belarus","IPF","IPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=1701","2017-06-15-5th IPF World Classic Championships - Minsk \ Belarus"
2017-05-22,"IPF World Men's Bench Press Championships - Lithuania","IPF","IPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=1660","2017-05-22-IPF World Men's Bench Press Championships - Lithuania"
2017-04-29,"Pacific Invitationals","IPF","AUS",NA,"https://usapl.liftingdatabase.com/competitions-view?id=1662","2017-04-29-Pacific Invitationals"
2017-04-17,"2nd IPF World Classic Bench Press - Killeen - USA","IPF","IPF","Texas","https://usapl.liftingdatabase.com/competitions-view?id=1631","2017-04-17-2nd IPF World Classic Bench Press - Killeen - USA"
2017-03-05,"Arnold - Titan Pro Bench Bash","IPF","USAPL-2017-01","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=1549","2017-03-05-Arnold - Titan Pro Bench Bash"
2017-03-04,"Arnold - SSP Nutrition Pro Raw Bench","IPF","USAPL-2017-01","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=1523","2017-03-04-Arnold - SSP Nutrition Pro Raw Bench"
2017-03-04,"Arnold - Grand Prix","IPF","USAPL-2017-01","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=1528","2017-03-04-Arnold - Grand Prix"
2017-03-04,"Arnold - Slingshot Pro American","IPF","USAPL-2017-01","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=1530","2017-03-04-Arnold - Slingshot Pro American"
2017-01-29,"Reykjavík International Games","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=1439","2017-01-29-Reykjavík International Games"
2016-11-14,"2016 IPF Open Worlds","IPF",NA,"Florida","https://usapl.liftingdatabase.com/competitions-view?id=1375","2016-11-14-2016 IPF Open Worlds"
2016-10-28,"2016 NAPF Bench Press Championships (San Jose - Costa Rica)","IPF","NAPF",NA,"https://usapl.liftingdatabase.com/competitions-view?id=1379","2016-10-28-2016 NAPF Bench Press Championships (San Jose - Costa Rica)"
2016-10-03,"IPF Master Worlds (Tallinn Estonia)","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=1353","2016-10-03-IPF Master Worlds (Tallinn Estonia)"
2016-08-29,"IPF SubJr-Junior Worlds - Szczyrk Poland","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=1338","2016-08-29-IPF SubJr-Junior Worlds - Szczyrk Poland"
2016-08-15,"14th Annual North American Championships","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=1301","2016-08-15-14th Annual North American Championships"
2016-07-11,"1st IPF University Powerlifting World Cup","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=1279","2016-07-11-1st IPF University Powerlifting World Cup"
2016-06-18,"IPF Classic Worlds","IPF",NA,"Texas","https://usapl.liftingdatabase.com/competitions-view?id=1260","2016-06-18-IPF Classic Worlds"
2016-05-15,"IPF Classic Bench Worlds - South Africa","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=1237","2016-05-15-IPF Classic Bench Worlds - South Africa"
2016-04-19,"IPF Bench Worlds - Rodby Denmark","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=1339","2016-04-19-IPF Bench Worlds - Rodby Denmark"
2016-03-06,"Arnold - SlingShot Pro Deadlift","IPF","USAPL-2016-01","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=1121","2016-03-06-Arnold - SlingShot Pro Deadlift"
2016-03-06,"Arnold - Titan Pro Raw Bench Bash","IPF","USAPL-2016-01","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=1123","2016-03-06-Arnold - Titan Pro Raw Bench Bash"
2016-03-05,"Arnold - SlingShot Pro American","IPF","USAPL-2016-01","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=1118","2016-03-05-Arnold - SlingShot Pro American"
2016-03-05,"Arnold - SSP Nutrition Pro Raw Bench","IPF","USAPL-2016-01","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=1119","2016-03-05-Arnold - SSP Nutrition Pro Raw Bench"
2016-03-04,"Arnold - StartingStrength.com Pro Raw Challenge","IPF","USAPL-2016-01","Ohio","https://usapl.liftingdatabase.com/competitions-view?id=1122","2016-03-04-Arnold - StartingStrength.com Pro Raw Challenge"
2016-01-30,"Reykjavik International Games","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=1254","2016-01-30-Reykjavik International Games"
2015-11-09,"IPF Open Worlds Championships - Hamm (Luxembourg)","IPF",NA,NA,"https://usapl.liftingdatabase.com/competitions-view?id=1310","2015-11-09-IPF Open Worlds Championships - Hamm (Luxembourg)"
2015-09-28,"2015 IPF World Masters Championships","IPF","IPF","Colorado","https://usapl.liftingdatabase.com/competitions-view?id=119667","2015-09-28-2015 IPF World Masters Championships"
